period,kind,part,code,total,open_count,closed_share,p50_band_lower,p75_band_lower,p92_band_lower,p95_band_lower,band_count
2026-04,monthly,Part_2,C_130,610708,5,0.999991812781231,9,19,33,38,105
2026-04,monthly,Part_2,C_301,371537,3,0.9999919254340752,11,21,35,40,105
2026-04,monthly,Part_2,C_320,377359,14,0.9999629000500848,11,21,35,40,105
2026-04,monthly,Part_2,C_400,206659,1,0.9999951611108154,13,25,39,43,105
2026-05,monthly,Part_2,C_999,7153655,177,0.9999752574033832,12,23,38,43,105
2026-05,monthly,Part_2,C_100,381497,7,0.9999816512318576,13,25,40,45,105
2026-05,monthly,Part_2,C_110,827960,46,0.9999444417604716,14,26,41,46,105
2026-05,monthly,Part_2,C_120,594331,12,0.9999798092308833,14,27,41,46,105
2026-05,monthly,Part_2,C_130,624531,5,0.9999919939922918,10,18,33,38,105
2026-05,monthly,Part_2,C_301,370047,4,0.99998919056228,11,20,36,40,105
2026-05,monthly,Part_2,C_320,378421,0,1.0,12,21,35,40,105
2026-05,monthly,Part_2,C_400,207581,0,1.0,14,25,38,43,105
2025-02,full,Part_1A,C_999,310349,304,0.9990204576138476,12,31,55,61,105
2025-02,full,Part_1A,C_100,26283,15,0.999429288893962,16,37,57,62,105
2025-02,full,Part_1A,C_110,49200,23,0.9995325203252032,22,41,59,63,105
2025-02,full,Part_1A,C_120,13734,15,0.9989078200087376,31,53,64,66,105
2025-02,full,Part_1A,C_130,59564,12,0.9997985360284736,6,16,38,46,105
2025-02,full,Part_1A,C_301,17699,13,0.999265495225719,4,10,30,41,105
2025-02,full,Part_1A,C_320,9740,15,0.9984599589322382,11,24,46,52,105
2025-02,full,Part_1A,C_400,701,0,1.0,5,16,35,41,105
2025-02,full,Part_1B,C_999,1147295,764,0.9993340858279692,9,26,48,54,105
2025-02,full,Part_1B,C_100,50698,53,0.9989545938695806,6,23,49,55,105
2025-02,full,Part_1B,C_110,93103,93,0.999001106301623,12,27,50,56,105
2025-02,full,Part_1B,C_120,81613,52,0.9993628466053204,17,40,55,59,105
2025-02,full,Part_1B,C_130,103539,92,0.9991114459285872,8,19,41,48,105
2025-02,full,Part_1B,C_301,45959,52,0.9988685567571096,11,28,49,54,105
2025-02,full,Part_1B,C_320,55135,34,0.9993833318218918,14,31,51,56,105
2025-02,full,Part_1B,C_400,31176,13,0.9995830125737748,20,41,55,60,105
2026-04,full,Part_1A,C_999,287231,485,0.9983114635955032,13,31,52,56,105
2026-04,full,Part_1A,C_100,24402,14,0.9994262765347104,16,36,52,56,105
2026-04,full,Part_1A,C_110,45522,60,0.9986819559773296,24,41,55,60,105
2026-04,full,Part_1A,C_120,12242,29,0.9976311060284268,26,49,61,63,105
2026-04,full,Part_1A,C_130,52015,32,0.9993847928482168,11,21,39,46,105
2026-04,full,Part_1A,C_301,16723,40,0.9976080846738026,4,11,30,40,105
2026-04,full,Part_1A,C_320,9210,18,0.9980456026058632,11,23,46,51,105
2026-04,full,Part_1A,C_400,534,2,0.99625468164794,5,13,31,39,105
2026-04,full,Part_1B,C_999,1159840,787,0.999321458132156,8,23,44,48,105
2026-04,full,Part_1B,C_100,48325,24,0.9995033626487324,7,21,44,49,105
2026-04,full,Part_1B,C_110,100697,90,0.9991062295798286,12,26,47,51,105
2026-04,full,Part_1B,C_120,81545,72,0.9991170519345148,13,33,50,54,105
2026-04,full,Part_1B,C_130,102331,83,0.9991889065874466,7,18,36,43,105
2026-04,full,Part_1B,C_301,49124,31,0.9993689438970768,10,27,45,50,105
2026-04,full,Part_1B,C_320,54589,38,0.9993038890618988,12,27,44,48,105
2026-04,full,Part_1B,C_400,30663,17,0.9994455858852688,18,33,49,52,105
