period,sheet,row,code,p,n,band,official,linear_pN,difference
2024-01,Sub-ICB,312,C_300,0.92,1364,28,28.99,28.99000000000001,1.0658141036401503e-14
2024-01,Sub-ICB,313,C_301,0.5,9885,11,11.1287878787879,11.128787878787879,-2.1316282072803006e-14
2024-01,Sub-ICB,313,C_301,0.92,9885,33,33.4048780487805,33.404878048780496,-7.105427357601002e-15
2024-01,Sub-ICB,314,C_320,0.5,8019,11,11.5380434782609,11.53804347826087,-3.019806626980426e-14
2024-01,Sub-ICB,314,C_320,0.92,8019,32,32.9448780487805,32.944878048780495,-7.105427357601002e-15
2024-01,Sub-ICB,315,C_330,0.5,11414,15,15.6168224299065,15.616822429906541,4.085620730620576e-14
2024-01,Sub-ICB,315,C_330,0.92,11414,43,43.4182716049383,43.41827160493828,-1.4210854715202004e-14
2024-01,Sub-ICB,316,C_340,0.5,6479,11,11.0192307692308,11.01923076923077,-3.019806626980426e-14
2024-01,Sub-ICB,316,C_340,0.92,6479,36,36.77625,36.776250000000005,7.105427357601002e-15
2024-01,Sub-ICB,317,C_400,0.5,6658,15,15.1928251121076,15.192825112107624,2.3092638912203256e-14
2024-01,Sub-ICB,317,C_400,0.92,6658,35,35.056,35.05600000000001,1.4210854715202004e-14
2024-01,Sub-ICB,318,C_410,0.5,3472,14,14.411214953271,14.411214953271028,2.842170943040401e-14
2024-01,Sub-ICB,318,C_410,0.92,3472,35,35.7844444444445,35.78444444444445,-4.973799150320701e-14
2024-01,Sub-ICB,319,C_430,0.5,346,8,8.51612903225806,8.516129032258064,3.552713678800501e-15
2024-01,Sub-ICB,319,C_430,0.92,346,25,25.5533333333333,25.55333333333333,3.197442310920451e-14
2024-01,Sub-ICB,320,C_502,0.5,12526,15,15.4620253164557,15.462025316455696,-3.552713678800501e-15
2024-01,Sub-ICB,320,C_502,0.92,12526,47,47.3292,47.3292,0.0
2024-01,Sub-ICB,326,C_999,0.5,180265,13,13.8551113762928,13.855111376292761,-3.907985046680551e-14
2024-01,Sub-ICB,326,C_999,0.92,180265,42,42.9005586592179,42.9005586592179,0.0
2024-01,Sub-ICB,327,C_100,0.5,14796,14,14.960960960961,14.96096096096096,-3.907985046680551e-14
2024-01,Sub-ICB,327,C_100,0.92,14796,43,43.6075,43.607499999999995,-7.105427357601002e-15
2024-01,Sub-ICB,328,C_101,0.5,14674,15,15.3815789473684,15.381578947368421,2.1316282072803006e-14
2024-01,Sub-ICB,328,C_101,0.92,14674,45,45.5922580645161,45.59225806451613,2.842170943040401e-14
2024-01,Sub-ICB,329,C_110,0.5,22864,14,14.6870860927152,14.687086092715232,3.197442310920451e-14
2024-01,Sub-ICB,329,C_110,0.92,22864,44,44.5815189873418,44.58151898734178,-2.1316282072803006e-14
2024-01,Sub-ICB,330,C_120,0.5,14401,14,14.5598503740648,14.559850374064839,3.907985046680551e-14
2024-01,Sub-ICB,330,C_120,0.92,14401,45,45.8841379310345,45.88413793103448,-2.1316282072803006e-14
2024-01,Sub-ICB,331,C_130,0.5,16611,9,9.31437908496732,9.314379084967321,1.7763568394002505e-15
2024-01,Sub-ICB,331,C_130,0.92,16611,28,28.3263492063492,28.326349206349214,1.4210854715202004e-14
2024-01,Sub-ICB,332,C_140,0.5,12057,17,17.2682403433476,17.26824034334764,3.907985046680551e-14
2024-01,Sub-ICB,332,C_140,0.92,12057,50,50.9158974358974,50.91589743589744,4.263256414560601e-14
2024-01,Sub-ICB,333,C_150,0.5,4569,16,16.4754901960784,16.475490196078432,3.197442310920451e-14
2024-01,Sub-ICB,333,C_150,0.92,4569,45,45.0528571428572,45.05285714285716,-4.263256414560601e-14
2024-01,Sub-ICB,334,C_160,0.5,2289,20,20.0972222222222,20.09722222222222,2.1316282072803006e-14
2024-01,Sub-ICB,334,C_160,0.92,2289,50,50.994,50.99400000000001,7.105427357601002e-15
2024-01,Sub-ICB,335,C_170,0.5,25,11,11.75,11.75,0.0
2024-01,Sub-ICB,335,C_170,0.92,25,39,40,40.0,0.0
2024-01,Sub-ICB,336,C_300,0.5,735,9,9.2625,9.2625,0.0
2024-01,Sub-ICB,336,C_300,0.92,735,25,25.3818181818182,25.381818181818186,-1.4210854715202004e-14
2024-01,Sub-ICB,337,C_301,0.5,11113,12,12.0735735735736,12.073573573573574,-2.6645352591003757e-14
2024-01,Sub-ICB,337,C_301,0.92,11113,41,41.2146835443038,41.21468354430381,7.105427357601002e-15
2024-01,Sub-ICB,338,C_320,0.5,10736,11,11.5208333333333,11.520833333333334,3.375077994860476e-14
2024-01,Sub-ICB,338,C_320,0.92,10736,31,31.6838461538462,31.68384615384616,-3.907985046680551e-14
2024-01,Sub-ICB,339,C_330,0.5,12067,16,16.118,16.118,0.0
2024-01,Sub-ICB,339,C_330,0.92,12067,50,50.1683950617284,50.16839506172841,1.4210854715202004e-14
2024-01,Sub-ICB,340,C_340,0.5,9037,13,13.7816901408451,13.78169014084507,-3.019806626980426e-14
