period,sheet,row,percentile,official,computed,lower,difference
2024-01,Sub-ICB,156,0.5,15.9545454545455,15.954545454545455,15,-4.440892098500626e-14
2024-01,Sub-ICB,156,0.92,47.3466666666667,47.34666666666667,47,-2.842170943040401e-14
2024-01,Sub-ICB,157,0.5,23.6428571428571,23.642857142857142,23,4.263256414560601e-14
2024-01,Sub-ICB,157,0.92,53.12,53.120000000000005,53,7.105427357601002e-15
2024-01,Sub-ICB,158,0.5,25.8,25.8,25,0.0
2024-01,Sub-ICB,158,0.92,54.8692063492064,54.86920634920635,54,-4.973799150320701e-14
2024-01,Sub-ICB,183,0.5,14.9583333333333,14.958333333333334,14,3.375077994860476e-14
2024-01,Sub-ICB,183,0.92,47.17,47.170000000000016,47,1.4210854715202004e-14
2024-01,Sub-ICB,184,0.5,14.96875,14.96875,14,0.0
2024-01,Sub-ICB,184,0.92,48.3771428571429,48.37714285714286,48,-4.263256414560601e-14
2024-01,Sub-ICB,185,0.5,15.046511627907,15.046511627906977,15,-2.3092638912203256e-14
2024-01,Sub-ICB,185,0.92,42.32,42.32,42,0.0
2024-01,Sub-ICB,186,0.5,20.0357142857143,20.035714285714285,20,-1.4210854715202004e-14
2024-01,Sub-ICB,186,0.92,49.6092307692308,49.60923076923078,49,-2.1316282072803006e-14
2024-01,Sub-ICB,187,0.5,12.75,12.75,12,0.0
2024-01,Sub-ICB,187,0.92,43.1733333333333,43.173333333333346,43,4.973799150320701e-14
2024-01,Sub-ICB,188,0.5,18.3,18.3,18,0.0
2024-01,Sub-ICB,188,0.92,39.4,39.400000000000006,39,7.105427357601002e-15
2024-01,Sub-ICB,189,0.5,19.5,19.5,19,0.0
2024-01,Sub-ICB,189,0.92,62.32,62.32,62,0.0
2024-01,Sub-ICB,190,0.5,15.5714285714286,15.571428571428571,15,-2.842170943040401e-14
2024-01,Sub-ICB,190,0.92,43.76,43.760000000000005,43,7.105427357601002e-15
2024-01,Sub-ICB,192,0.5,19.3333333333333,19.333333333333332,19,3.197442310920451e-14
2024-01,Sub-ICB,192,0.92,39.92,39.92,39,0.0
2024-01,Sub-ICB,193,0.5,16.4285714285714,16.428571428571427,16,2.842170943040401e-14
2024-01,Sub-ICB,193,0.92,43.65,43.650000000000006,43,7.105427357601002e-15
2024-01,Sub-ICB,194,0.5,13.8333333333333,13.833333333333334,13,3.375077994860476e-14
2024-01,Sub-ICB,194,0.92,40.74,40.74000000000001,40,7.105427357601002e-15
2024-01,Sub-ICB,195,0.5,16.0357142857143,16.035714285714285,16,-1.4210854715202004e-14
2024-01,Sub-ICB,195,0.92,44.06,44.06,44,0.0
2024-01,Sub-ICB,196,0.5,15.625,15.625,15,0.0
2024-01,Sub-ICB,196,0.92,45.84,45.84,45,0.0
2024-01,Sub-ICB,197,0.5,15.9,15.9,15,0.0
