period,part,kind,code,name,release,lower_week,upper_week,open_band,count,share,group
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,68,69,False,4064,0.000531813686194,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,69,70,False,3451,0.000451596710397,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,70,71,False,3737,0.000489022575125,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,71,72,False,3216,0.000420844688681,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,72,73,False,2109,0.000275983037447,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,73,74,False,2032,0.000265906843097,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,74,75,False,2070,0.000270879510438,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,75,76,False,1786,0.000233715365045,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,76,77,False,1477,0.000193279727979,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,77,78,False,1349,0.000176529690619,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,78,79,False,579,7.57677471226e-05,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,79,80,False,533,6.97482024462e-05,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,80,81,False,392,5.12969894163e-05,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,81,82,False,335,4.38379884043e-05,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,82,83,False,305,3.99121983979e-05,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,83,84,False,205,2.68262317101e-05,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,84,85,False,151,1.97598096986e-05,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,85,86,False,147,1.92363710311e-05,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,86,87,False,93,1.21699490197e-05,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,87,88,False,23,3.0097723382e-06,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,88,89,False,61,7.98243967958e-06,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,89,90,False,55,7.19728167831e-06,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,90,91,False,49,6.41212367704e-06,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,91,92,False,45,5.88868500953e-06,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,92,93,False,43,5.62696567577e-06,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,93,94,False,35,4.58008834074e-06,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,94,95,False,29,3.79493033947e-06,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,95,96,False,22,2.87891267132e-06,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,96,97,False,15,1.96289500318e-06,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,97,98,False,15,1.96289500318e-06,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,98,99,False,22,2.87891267132e-06,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,99,100,False,17,2.22461433693e-06,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,100,101,False,7,9.16017668149e-07,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,101,102,False,9,1.17773700191e-06,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,102,103,False,15,1.96289500318e-06,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,103,104,False,9,1.17773700191e-06,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,104,,True,124,1.62265986929e-05,over52
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,0,1,False,393455,0.0519649281805,within18
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,1,2,False,340468,0.0449667564722,within18
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,2,3,False,320931,0.0423864390232,within18
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,3,4,False,305859,0.0403958291758,within18
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,4,5,False,244128,0.0322428079116,within18
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,5,6,False,258678,0.0341644754594,within18
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,6,7,False,257218,0.0339716483377,within18
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7,8,False,249421,0.0329418722642,within18
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,8,9,False,244750,0.0323249575483,within18
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,9,10,False,237468,0.0313631992608,within18
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,10,11,False,218453,0.0288518241116,within18
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,11,12,False,223688,0.0295432282087,within18
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,12,13,False,213088,0.0281432504762,within18
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,13,14,False,198850,0.0262627898202,within18
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,14,15,False,196181,0.025910285993,within18
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,15,16,False,194592,0.0257004214065,within18
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,16,17,False,185635,0.0245174402226,within18
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,17,18,False,147039,0.0194199363961,within18
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,18,19,False,161632,0.0213472830989,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,19,20,False,165780,0.0218951234417,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,20,21,False,134241,0.0177296613943,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,21,22,False,150278,0.0198477220447,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,22,23,False,147928,0.0195373496229,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,23,24,False,139535,0.0184288578202,middle
2024-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,24,25,False,123133,0.0162625903894,middle
